table,column,dtype
fact_transactions.csv,txn_id,object
fact_transactions.csv,timestamp,object
fact_transactions.csv,user_id,object
fact_transactions.csv,merchant_id,object
fact_transactions.csv,amount_inr,float64
fact_transactions.csv,utr,object
fact_transactions.csv,utr_valid,bool
fact_transactions.csv,mcc,int64
fact_transactions.csv,status,object
fact_chargebacks.csv,complaint_id,object
fact_chargebacks.csv,txn_id,object
fact_chargebacks.csv,user_id,object
fact_chargebacks.csv,merchant_id,object
fact_chargebacks.csv,transaction_timestamp,object
fact_chargebacks.csv,reported_timestamp,object
fact_chargebacks.csv,bank_response_timestamp,object
fact_chargebacks.csv,disputed_amount_reported,float64
fact_chargebacks.csv,disputed_amount_inr,float64
fact_chargebacks.csv,disputed_amount_imputed,bool
fact_chargebacks.csv,reason_code,object
fact_chargebacks.csv,resolution_status,object
fact_chargebacks.csv,severity,object
fact_chargebacks.csv,channel,object
fact_chargebacks.csv,reporting_delay_days,float64
fact_chargebacks.csv,late_report_7d,bool
dim_customers.csv,user_id,object
dim_customers.csv,city,object
dim_customers.csv,state,object
dim_customers.csv,monthly_income_inr,float64
dim_customers.csv,occupation,object
dim_customers.csv,signup_timestamp,object
dim_customers.csv,kyc_status,object
dim_customers.csv,risk_segment,object
dim_merchants.csv,merchant_id,object
dim_merchants.csv,merchant_name,object
dim_merchants.csv,mcc,float64
dim_merchants.csv,merchant_category,object
dim_merchants.csv,business_type,object
dim_merchants.csv,city,object
dim_merchants.csv,state,object
dim_merchants.csv,onboarding_date,object
dim_merchants.csv,merchant_status,object
dim_merchants.csv,declared_avg_ticket_size_inr,float64
transactions_dashboard.csv,txn_id,object
transactions_dashboard.csv,timestamp,object
transactions_dashboard.csv,user_id,object
transactions_dashboard.csv,merchant_id,object
transactions_dashboard.csv,amount_inr,float64
transactions_dashboard.csv,utr,object
transactions_dashboard.csv,utr_valid,bool
transactions_dashboard.csv,mcc,float64
transactions_dashboard.csv,status,object
transactions_dashboard.csv,merchant_name,float64
transactions_dashboard.csv,merchant_category,float64
transactions_dashboard.csv,merchant_status,float64
transactions_dashboard.csv,city,float64
transactions_dashboard.csv,state,float64
transactions_dashboard.csv,kyc_status,object
transactions_dashboard.csv,risk_segment,object
transactions_dashboard.csv,occupation,object
transactions_dashboard.csv,chargeback_count,float64
transactions_dashboard.csv,chargeback_amount,float64
transactions_dashboard.csv,has_chargeback,bool
transactions_dashboard.csv,risk_flag,object
transactions_dashboard.csv,date,object
transactions_dashboard.csv,hour,int64
transactions_dashboard.csv,month,object
