user_id,city,state,monthly_income_inr,occupation,signup_timestamp,kyc_status,risk_segment
USR10001,Pune,Maharashtra,37535.0,Retired,2025-09-27 00:00:00,VERIFIED,MEDIUM
USR10007,Bangalore,Karnataka,20393.0,Unemployed,2025-02-07 00:00:00,VERIFIED,MEDIUM
USR10010,Jalandhar,Punjab,48376.0,Gig Worker,2024-07-26 09:55:29,PENDING,HIGH
USR10013,Pune,Maharashtra,,Salaried,2025-10-09 00:00:00,VERIFIED,HIGH
USR10014,Mumbai,Maharashtra,18633.0,Freelancer,2026-01-28 00:00:00,VERIFIED,MEDIUM
USR10015,Ludhiana,Punjab,7232.0,Freelancer,2026-02-10 00:00:00,VERIFIED,LOW
USR10020,Delhi,Delhi,31737.0,Retired,2024-04-10 00:00:00,VERIFIED,MEDIUM
USR10022,Asr,Punjab,,Gig Worker,2026-02-02 18:39:00,VERIFIED,LOW
USR10024,Kolkata,West Bengal,22557.0,Salaried,2024-11-19 01:48:00,VERIFIED,HIGH
USR10027,Dilli,Delhi,18134.0,Retired,,VERIFIED,LOW
USR10030,Chennai,Tamil Nadu,,Unemployed,2024-08-03 16:27:00,VERIFIED,MEDIUM
USR10031,Pune,Maharashtra,27676.0,Self Employed,2026-02-03 00:00:00,PENDING,LOW
USR10043,Ludhiana,Punjab,17368.0,Business Owner,2025-03-21 00:00:00,VERIFIED,MEDIUM
USR10045,Pune,Maharashtra,,Student,2024-05-13 00:00:00,UNKNOWN,MEDIUM
USR10046,Jalandhar,Punjab,33616.0,Self Employed,2025-03-30 00:00:00,VERIFIED,MEDIUM
USR10047,Pune,Maharashtra,38887.0,Salaried,,PENDING,LOW
USR10048,Bengaluru,Karnataka,48066.0,Retired,2026-02-06 00:00:00,PENDING,LOW
USR10049,Amritsar,Punjab,55166.0,Gig Worker,2024-05-19 00:00:00,VERIFIED,MEDIUM
USR10052,Kolkata,West Bengal,61355.0,Business Owner,2026-01-26 05:06:55,VERIFIED,MEDIUM
USR10054,Ludhiana,Punjab,-15820.0,Unemployed,,VERIFIED,LOW
USR10057,Kolkata,West Bengal,,Freelancer,2026-03-10 00:00:00,VERIFIED,MEDIUM
USR10059,Jalandhar,Punjab,62771.0,Unemployed,2024-06-23 22:19:56,VERIFIED,MEDIUM
USR10064,Ludhiana,Punjab,,Gig Worker,,PENDING,UNKNOWN
USR10066,Jaipur,Rajasthan,25819.0,Student,2025-05-15 00:00:00,PENDING,LOW
