merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,merchant_status,declared_avg_ticket_size_inr
MCH1001,Anand-Kothari,,GROCERY,PARTNERSHIP,Pune,Maharashtra,2026-02-17 06:54:00,ACTIVE,332.55
MCH1002,"Apte, Saha and Edwin",581.0,FOOD & DINING,PRIVATE_LIMITED,Bangalore,Karnataka,2026-07-01 09:01:00,ACTIVE,1671.2
MCH1003,"Nayar, Batta and Barad",5699.0,APPAREL,PRIVATE_LIMITED,Chennai,Tamil Nadu,,ACTIVE,792.91
MCH1004,Pillai-Mohan,4131.0,TRANSPORT & TRAVEL,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2023-04-08 00:00:00,ACTIVE,342.7
MCH1005,SAGAR AND SONS,5912.0,PHARMACY,PARTNERSHIP,Ludhiana,Punjab,2024-02-06 00:00:00,ACTIVE,967.53
MCH1007,Jain-Wadhwa,7011.0,HOTEL & LODGING,PRIVATE_LIMITED,Chennai,Tamil Nadu,2025-06-30 00:00:00,INACTIVE,-927.51
MCH1009,Bha11a-Dave,,TRANSPORT & TRAVEL,INDIVIDUAL,Mumbai,Maharashtra,2024-01-08 00:00:00,ACTIVE,1496.0
MCH1010,Menon-Andra,,GROCERY,PRIVATE_LIMITED,Delhi,Delhi,2024-11-17 00:00:00,ACTIVE,678.36
MCH1011,Wable and Sons,5411.0,GROCERY,PRIVATE_LIMITED,Ludhiana,Punjab,2023-02-11 00:00:00,ACTIVE,6536.07
MCH1014,"Raghavan, Barad and Bahl",581.0,FOOD & DINING,PARTNERSHIP,Pune,Maharashtra,2024-03-23 00:00:00,ACTIVE,
MCH1015,Mannan-Subramaniam,7011.0,HOTEL & LODGING,INDIVIDUAL,Hyderabad,Telangana,2024-05-19 00:00:00,ACTIVE,-1116.83
MCH1016,"Mangat, Som and Deshmukh",5942.0,BOOKS & STATIONERY,INDIVIDUAL,Pune,Maharashtra,2025-08-02 00:00:00,SUSPENDED,756.28
MCH1018,Kannan-Khatri,5311.0,DEPARTMENT STORE,INDIVIDUAL,Jalandhar,Punjab,2023-03-19 00:00:00,ACTIVE,1791.0
MCH1019,Iyer-Thaker,5699.0,CLOTHING,PARTNERSHIP,Kolkata,West Bengal,2025-05-23 00:00:00,ACTIVE,
MCH1020,Garg-Kale,4131.0,TRANSPORT & TRAVEL,SOLE_PROPRIETOR,Asr,Punjab,2023-05-09 00:00:00,ACTIVE,1015.68
MCH1021,Naik-Karpe,5411.0,GROCERY,SOLE_PROPRIETOR,Mumbai,Maharashtra,2025-11-16 17:48:36,ACTIVE,2341.57
MCH1022,Ramesh-Bhat,,OTHER,PRIVATE_LIMITED,Hyderabad,Telangana,,ACTIVE,3026.17
MCH1032,Nori-Nigam,7011.0,HOTEL & LODGING,SOLE_PROPRIETOR,Pune,Maharashtra,2025-09-21 00:00:00,ACTIVE,652.29
MCH1033,Sidhu and Sons,4814.0,TELECOM,INDIVIDUAL,Jalandhar,Punjab,2023-09-11 00:00:00,ACTIVE,1871.48
MCH1034,DEVI-CHAUDHARI,7011.0,HOTEL & LODGING,PRIVATE_LIMITED,Delhi,Delhi,2024-06-17 22:15:00,ACTIVE,243.38
