txn_id,timestamp,user_id,merchant_id,amount_inr,utr,utr_valid,mcc,status,merchant_name,merchant_category,merchant_status,city,state,kyc_status,risk_segment,occupation,chargeback_count,chargeback_amount,has_chargeback,risk_flag,date,hour,month
TXN00011869,2026-01-15 00:11:30,USR45826,MCH7045,15722.34,UTR6498104698,True,5411.0,SUCCESS,,,,,,,,,1.0,8004.21,True,CHARGEBACK_LINKED,2026-01-15,0,2026-01
TXN00010383,2026-01-17 20:09:44,USR79397,MCH5031,6362.9,UTR7656190355,True,4131.0,FAILED,,,,,,UNKNOWN,LOW,Self Employed,1.0,4163.19,True,CHARGEBACK_LINKED,2026-01-17,20,2026-01
TXN00008297,2026-01-23 14:10:16,USR87810,MCH9809,15446.19,UTR9037001889,True,5411.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-01-23,14,2026-01
TXN00006448,2026-02-02 20:17:51,USR54287,MCH6928,12110.49,UTR5257823698,True,5411.0,SUCCESS,Tata-Wagle,PHARMACY,ACTIVE,Bengaluru,Karnataka,,,,0.0,0.0,False,NONE,2026-02-02,20,2026-02
TXN00018792,2026-03-31 14:02:37,USR53865,MCH8121,19432.94,UTR4204272894,True,4131.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-03-31,14,2026-03
TXN00000400,2026-02-11 01:40:43,USR90546,MCH6773,18866.03,UTR2080442730,True,5812.0,SUCCESS,"parmar, sahota and rajagopalan",OTHER,ACTIVE,Pune,Maharashtra,REJECTED,LOW,Unemployed,0.0,0.0,False,NONE,2026-02-11,1,2026-02
TXN00015249,2026-03-10 21:27:31,USR18691,MCH7856,19982.69,UTR5471158093,True,,SUCCESS,"Sood, Dalal and Butala",HOTEL & LODGING,ACTIVE,New Delhi,Delhi,VERIFIED,LOW,Business Owner,0.0,0.0,False,NONE,2026-03-10,21,2026-03
TXN00007121,2026-02-25 00:53:02,USR16629,MCH7753,22687.5,UTR3330570580,True,5411.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-25,0,2026-02
TXN00008460,2026-02-07 09:53:11,USR20899,MCH9111,8256.07,UTR6505850115,True,,SUCCESS,"  Dhar, Thaker and Madan  ",MISC RETAIL,ACTIVE,Kolkata,West Bengal,VERIFIED,LOW,Retired,0.0,0.0,False,NONE,2026-02-07,9,2026-02
TXN00002541,2026-03-30 09:37:49,USR51755,MCH2949,16466.93,UTR2787678319,True,5411.0,FAILED,"Mahal, Natt and Ghosh",OTHER,ACTIVE,Jaipur,Rajasthan,,,,0.0,0.0,False,NONE,2026-03-30,9,2026-03
TXN00003797,2026-03-14 12:21:17,USR81003,MCH5292,13312.0,UTR2464640119,True,,SUCCESS,Nori-Dugal,OTHER,INACTIVE,Pune,Maharashtra,,,,0.0,0.0,False,NONE,2026-03-14,12,2026-03
TXN00000092,2026-01-27 23:43:31,USR70687,MCH4523,17833.99,UTR5315091377,True,5411.0,SUCCESS,,,,,,VERIFIED,MEDIUM,Self Employed,0.0,0.0,False,NONE,2026-01-27,23,2026-01
TXN00004622,2026-11-03 01:40:12,USR37834,MCH5213,19118.63,UTR1692756805,True,5812.0,SUCCESS,Keer-Yadav,HOTEL & LODGING,ACTIVE,Jalandhar,Punjab,,,,1.0,1330.95,True,CHARGEBACK_LINKED,2026-11-03,1,2026-11
TXN00001542,2026-02-21 01:33:17,USR78386,MCH4890,2680.85,UTR3430344329,True,5912.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-21,1,2026-02
TXN00002592,2026-02-21 05:47:48,USR21114,MCH9819,20100.92,UTR3572682179,True,,UNKNOWN,,,,,,,,,0.0,0.0,False,NONE,2026-02-21,5,2026-02
TXN00017665,2026-01-21 15:06:13,USR96222,MCH6009,16257.95,UTR4021669116,True,5411.0,PENDING,"Nagar, Chowdhury and Raghavan",BOOKS & STATIONERY,ACTIVE,Pune,Maharashtra,,,,0.0,0.0,False,NONE,2026-01-21,15,2026-01
TXN00002012,2026-03-06 13:48:49,USR13976,MCH8222,1575.7,UTR0496925866,True,5411.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-03-06,13,2026-03
TXN00015655,2026-01-09 05:05:51,USR55935,MCH8480,18230.29,UTR6094940155,True,,SUCCESS,Doshi-Sarin,TRANSPORT & TRAVEL,ACTIVE,Pune,Maharashtra,,,,0.0,0.0,False,NONE,2026-01-09,5,2026-01
TXN00011091,2026-03-03 19:17:39,USR13890,MCH8216,-23820.57,UTR6527062794,True,4131.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-03-03,19,2026-03
TXN00008584,2026-01-17 18:53:31,USR15778,MCH3250,5546.0,UTR0928079796,True,5912.0,SUCCESS,Bose-Kalita,DEPARTMENT STORES,INACTIVE,Mumbai,Maharashtra,,,,0.0,0.0,False,NONE,2026-01-17,18,2026-01
TXN00004474,2026-01-17 19:39:58,USR15834,MCH3895,8892.43,UTR4987418462,True,5812.0,SUCCESS,Wable-Sarna,HOTEL & LODGING,INACTIVE,Jaipur,Rajasthan,,,,0.0,0.0,False,NONE,2026-01-17,19,2026-01
TXN00013857,2026-01-24 07:35:23,USR33189,MCH4645,1816.08,UTR8739611115,True,5912.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-01-24,7,2026-01
TXN00012705,2026-01-23 18:56:04,USR48168,MCH4207,3530.72,UTR0498515755,True,5411.0,SUCCESS,,,,,,PENDING,MEDIUM,Retired,0.0,0.0,False,NONE,2026-01-23,18,2026-01
TXN00008884,2026-01-02 23:17:20,USR99474,MCH1206,7998.11,UTR6778164754,True,5411.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-01-02,23,2026-01
TXN00007528,2026-01-30 18:33:12,USR86253,MCH1683,13694.93,UTR6390761420,True,5411.0,SUCCESS,"Sampath, Anne and Madan",FOOD & DINING,ACTIVE,Chennai,Tamil Nadu,VERIFIED,LOW,Farmer,0.0,0.0,False,NONE,2026-01-30,18,2026-01
TXN00011321,2026-02-25 08:44:40,USR85411,MCH6621,15076.69,UTR9700714037,True,7011.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-25,8,2026-02
TXN00003742,2026-03-20 05:35:40,USR92327,MCH8759,20437.02,UTR3393354693,True,5812.0,SUCCESS,,,,,,VERIFIED,MEDIUM,Gig Worker,0.0,0.0,False,NONE,2026-03-20,5,2026-03
TXN00008492,2026-02-02 18:27:43,USR54536,MCH8074,3384.6,UTR3320495895,True,,SUCCESS,Prakash-Bera,TELECOM,ACTIVE,Jalandhar,Punjab,,,,0.0,0.0,False,NONE,2026-02-02,18,2026-02
